stock_id,median_bas,median_log_activity,median_rv,mean_rv,rv_std,liquid_pct,illiquid_pct,mixed_pct,n_buckets,stock_regime,recommended_model
0,0.0006992282644963999,7.264998265001602,0.0005835208946686501,0.0007752329637756399,0.0007576757543503657,0.047847889678228166,0.5925616381111576,0.3595904722106143,4786,illiquid,WLS / HAR-RV
1,0.0005489816405991001,7.506936366276193,0.0007212983835140001,0.0009216981120847797,0.0008227439352324346,0.11354166666666667,0.4191666666666667,0.46729166666666666,4800,illiquid,WLS / HAR-RV
2,0.0001619608643731,8.722089186126158,0.0003715699412728,0.0004712738295696656,0.00039789233985550095,0.8352083333333333,0.031875,0.13291666666666666,4800,liquid,EGARCH-X
3,0.0008626141992413999,7.055043249870039,0.0011123546306268,0.0013932361602758234,0.0011376435941088123,0.015638031693077564,0.76814011676397,0.21622185154295245,4796,illiquid,WLS / HAR-RV
4,0.00065252724745905,7.3339801951262285,0.00063272735358185,0.0008193285103797889,0.0007287901184405707,0.03650396328744264,0.538589904046725,0.42490613266583227,4794,illiquid,WLS / HAR-RV
5,0.0009324539064406001,6.976597391117817,0.0008138227466498,0.001021429814553193,0.0008820461931984853,0.007101086048454469,0.7969924812030075,0.195906432748538,4788,illiquid,WLS / HAR-RV
6,0.0008153011016311499,7.112229886475864,0.00134149655388975,0.0016230853040301299,0.0011663295243685224,0.011259382819015847,0.7395746455379483,0.24916597164303586,4796,illiquid,WLS / HAR-RV
7,0.00053854945813495,7.525456683704974,0.00057077203951665,0.0006694571065130856,0.0005364410408993578,0.08827212020033388,0.3735392320534224,0.5381886477462438,4792,mixed,WLS / HAR-RV
8,0.0005215119906639,7.557998423116677,0.00072380120421955,0.000950261593003975,0.0007815066664608336,0.16,0.36916666666666664,0.4708333333333333,4800,mixed,WLS / HAR-RV
9,0.0009454929667405501,6.96292727928999,0.000864747605613,0.0011582971775610986,0.0011064476976343958,0.011904761904761904,0.7999164578111947,0.18817878028404345,4788,illiquid,WLS / HAR-RV
10,0.0002535477604403,8.277114985591531,0.0005841569676625,0.000733372271595952,0.0005423521705243578,0.61625,0.08541666666666667,0.29833333333333334,4800,liquid,EGARCH-X
11,0.0006226018036446499,7.380665638530222,0.00074437820200385,0.0009787432592090499,0.0009409526922008721,0.0846185910796165,0.5043768236765319,0.4110045852438516,4798,illiquid,WLS / HAR-RV
13,0.00026337261249189997,8.23765121509161,0.00041861609995565,0.000514495397977851,0.00044451028773730426,0.796875,0.029166666666666667,0.17395833333333333,4800,liquid,EGARCH-X
14,0.0001523778317929,8.782530043598033,0.0004630833025622,0.0005749589106649888,0.00041012133798627064,0.930625,0.00875,0.060625,4800,liquid,EGARCH-X
15,0.0004162541767411,7.782088877890531,0.0006123874545734,0.0007622804448878634,0.000597970452503943,0.2829756199208168,0.26443008960200043,0.45259429047718275,4799,mixed,WLS / HAR-RV
16,0.00068529962218685,7.284352889750919,0.0006008618311406,0.0008281219343143521,0.0008885069084534196,0.06508999581414818,0.5617413143574718,0.3731686898283801,4778,illiquid,WLS / HAR-RV
17,0.0004497951230379,7.704478302793246,0.000686120682099,0.0008568592888827938,0.0006916215461462155,0.1808710147947489,0.27255678266305483,0.5465722025421963,4799,mixed,WLS / HAR-RV
18,0.00183039470432115,6.304944614213801,0.0013424847184601999,0.001719073732035195,0.0015812494175155797,0.000419639110365086,0.9859420898027697,0.013638271086865297,4766,illiquid,WLS / HAR-RV
